shock_id,shock_name,shock_type,start_date,end_date,affected_countries,intensity_notes,end_source_notes
SH001,September 11 attacks and Afghanistan War onset,war,2001-09-11,2021-08-30,Afghanistan,"Major - 20-year US military engagement; fundamental shift in border security",CFR "The U.S. War in Afghanistan" Timeline
SH002,Iraq War onset,war,2003-03-20,2011-12-18,Iraq,"Major - large-scale US-led invasion and occupation; prolonged regional instability",Britannica "Iraq War" Timeline
SH003,Post-9/11 visa/SEVIS security tightening,domestic_policy,2002-05-14,2003-01-30,All countries,"NOTE: affects all countries simultaneously - no valid control group for standard country-vs-country DiD; would need a different design (e.g. compare against a pre-period trend extrapolation) if analyzed",DHS/SEVIS program history
SH004,US-China trade war escalation,diplomatic_tension,2018-07-06,2020-01-15,China,"US-initiated tariff escalation under Section 301; Phase 1 deal signed Jan 2020",USTR "Phase One Agreement" Fact Sheet
SH005,US-China student visa restrictions (Proclamation 10043),domestic_policy,2020-06-01,,China,"US policy targeting certain Chinese STEM graduate students/researchers; ongoing",Federal Register 85 FR 34353
SH006,COVID-19 travel restrictions,domestic_policy,2020-03-11,2021-11-08,All countries,"US-imposed entry bans for non-citizens from various regions; lifted Nov 2021",CDC "Travel Restrictions History" / White House Proclamation 10294
SH007,Trump "Travel Ban" (EO 13769/13780),domestic_policy,2017-01-27,2021-01-20,Iran|Libya|Somalia|Sudan|Syria|Yemen,US executive order restricting entry from specific countries; revoked by Biden,Presidential Proclamation 10141 (Revocation of EO 13769)
SH008,Proclamation 10052 (H-1B/L-1 Visa Ban),domestic_policy,2020-06-24,2021-03-31,All countries,"US suspension of entry for H-1B, H-2B, J, and L nonimmigrants due to labor market risk",White House Archives (Proclamation 10052)
SH009,2025 visa policy tightening and OPT changes,domestic_policy,2025-01-20,,All countries,"Broad US restrictive shift following 2025 Inauguration; fixed-period admission proposals","Federal Register (July 2026) / NAFSA 2025 Institutional Survey"
SH010,NSEERS (National Security Entry-Exit Registration System),domestic_policy,2002-09-11,2011-04-28,Afghanistan|Iran|Iraq,25 countries total registered under NSEERS; of our tracked countries only Afghanistan/Iran/Iraq were included,"Federal Register 2011-10305 (removal notice, confirms full 25-country list)"
SH011,DACA Rescission Announcement,domestic_policy,2017-09-05,2020-06-18,All countries (esp. Mexico),"US announcement to wind down DACA; overturned by Supreme Court in 2020",USCIS "DACA 2017 Announcement" / Supreme Court (DHS v. Regents)
SH012,July 2020 SEVP Online Student Directive,domestic_policy,2020-07-06,2020-07-14,All countries,"US directive barring F-1 students from online-only study; rescinded after major lawsuit",ICE Newsroom / Harvard v. DHS Litigation
SH013,Public Charge Rule Expansion,domestic_policy,2019-08-14,2021-03-09,All countries,"US rule expanding criteria for inadmissibility based on public benefit use; ceased in 2021",84 FR 41292 / USCIS Public Charge Litigation
SH014,Termination of COVID-19 National Emergencies,domestic_policy,2023-05-11,,All countries,US formal end to pandemic emergencies; concluding various travel and visa flexibilities,White House Statement (May 2023)
SH015,US-China 5-year visa validity agreement,domestic_policy,2014-11-12,,China,"Non-restrictive: extends F-1 visa validity 1yr->5yr, mechanically reduces annual visa issuance counts without reflecting reduced mobility - a measurement artifact for the visa_issued metric specifically, not a real mobility shock",State Dept press release Nov 10 2014; White House fact sheet
